,title,onion
0,"‘This Face Will Be The Last Thing You See Before You Die,’ Says Trump In Healing Address To Nation",1
1,Primaried Steve King Glad He At Least Won’t Have To Be PC Anymore,1
2,Police Defend Use Of Non-Lethal Rubber Tires On Protestors,1
3,Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’,1
4,Botanists Concerned By What Returning To Work Will Do To Nation’s House Plants,1
5,"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone",1
6,Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot,1
7,"Trump Throws Garbage Can Through McDonald’s Window Before Looting $2,000 In Big Macs",1
8,Police Didn’t Spend Millions On Awesome Tank Just To Let Protests Stay Peaceful,1
9,Roger Goodell Insists Martin Luther King Jr. Would Have Wanted 17-Game Football Season In Front Of Full Stadiums,1
10,Community Of Losers Comes Together To Clean Graffiti Off Multinational Banking Conglomerate,1
11,De Blasio: ‘It Is An Honor To Have My Daughter Doxxed By The Greatest Police Force In The World’,1
12,Old Bike Chain Needing More And More Lube To Perform,1
13,Study: Dolphins Not So Intelligent On Land,1
14,Sweatshop Worker Devastated To Hear Jacket She Worked So Hard On Looted,1
15,"‘Let Them Have Eric,’ Screams Trump While Pushing Son Through Door Of Bunker",1
16,"Cop Unable To Move After Taping Over Badge, Body Cam, Face, Body",1
17,Miami Mayor Suggests Citizens May Be Able To Resume Grinding On Each Other By July 1,1
18,Study Finds Majority Of Times Either Too Early Or Too Late,1
19,Fed Chairman Downloads Budgeting App To Help Manage Nation’s Economy,1
20,"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters",1
21,Grandmother’s Final Words ‘Have When It Together On It Go Family’,1
22,"‘I Will Not Be Censored,’ Yells Trump Chaining Himself To Phone Displaying Twitter Homepage",1
23,Adam Silver Shows Solidarity With Players By Inserting Self As Milwaukee Bucks Point Guard,1
24,Woman Needs To Shut Up And Allow Man To Be Ally,1
25,Major Relief: Blizzard Has Announced That ‘Overwatch’ Players Will Be Able To Carry Over Their Unlocked Skins And Emotes Into The Afterlife,1
26,NASA Curious How Folks Would Feel If They Hypothetically Already Launched A Manned Mars Mission That Didn’t Go So Hot,1
27,Man Questions If It Really Necessary For Protesters To Be Black,1
28,Protestors Criticized For Looting Businesses Without Forming Private Equity Firm First,1
29,White House Press Secretary: ‘Trump’s Critics Will Seize On Any Six-Figure Death Toll That Suits Their Narrative’,1
30,‘Mommy Had To Go To The Hospital Today’ Starts Instagram Chihuahua’s Darkest Post To Date,1
31,WHO Warns Covid-19 Could Mean End To Blowing Water Through Pool Noodle Into Friends’ Faces,1
32,Inspirational ‘Hang In There’ Chalk Message The Thing That Finally Breaks Entire Neighborhood,1
33,Authorities Receive List Of Demands From Increasingly Hostile Coronavirus,1
34,Cautious Black Man Avoids Appearing As Threat To White Person By Crossing To Other Dimension,1
35,Jack Dorsey Assures Twitter Users That Company Having Most Idiotic Possible Internal Conversations About Trump’s Account,1
36,Inspiring: CD Projekt Red To Immortalize Programmers Who Died Making ‘Cyberpunk 2077’ As NPCs So They Can Serve CD Projekt Forever,1
37,Woman Knows Current Hardships Just Preparing Her To One Day Give Up Completely,1
38,Architect Has Amazing Idea For Replacing Freedom Tower If Worst Were To Happen Again,1
39,Half Hour Of Constant Rubbing Somehow Fails To Soothe Irritated Eye,1
40,Family Increasingly Terrified That Ghost Haunting House Might Be Pedophile,1
41,"What Are ‘Coronavirus Parties,’ And Why Weren’t We Invited?",1
42,Minneapolis Police Now Requiring Officers To Undergo Ergonomics Training To Better Protect Knees,1
43,"DNC To Streamline Fundraising By Cutting Out Unnecessary Cost Of Campaigns, Candidates",1
44,Trump: ‘Even One Death That Makes Me Look Bad Is A Tragedy’,1
45,Tyson Promises Meatpackers Who Die From Coronavirus Will Not Go To Waste,1
46,Heavenly Sources Confirm Jesus Christ Will Transfer To Iowa State University After Getting Grades Up,1
47,Man Always Self-Sabotaging By Working To The Best Of His Ability,1
48,Complete Bullshit: Designers Of This Online Shooter Made It So This Guy Died Even Though He Totally Ducked,1
49,Military Announces $2 Million Research Initiative To Find Out How Mother Of 3 Kathy Summers Able To Do It All,1
50,Governor Upset Barber Would Be So Reckless As To Get Near Ben Roethlisberger,1
51,Xi Jinping Warns Of Second Coronavirus Wave Likely To Disappear Thousands Of Hong Kong Residents,1
52,Missile Rushed To Hospital,1
