category,date,time,title
News in Brief,6/3/20,2:24 PM,‘This Face Will Be The Last Thing You See Before You Die,’ Says Trump In Healing Address To Nation
News in Brief,6/3/20,11:55 AM,Primaried Steve King Glad He At Least Won’t Have To Be PC Anymore
News in Brief,6/3/20,11:28 AM,Police Defend Use Of Non-Lethal Rubber Tires On Protestors
Politics,6/3/20,10:09 AM,Democratic Leaders Announce That They’ve Learned The Words ‘Systemic Racism’
The Topical,6/3/20,8:54 AM,Botanists Concerned By What Returning To Work Will Do To Nation’s House Plants
Politics,6/2/20,3:08 PM,"‘She Needs A Bible Now, Fuckwad—Yes, It’s For An Epic Clapback!’ Yells Panicked Pelosi Aide Into Phone"
News in Brief,6/2/20,2:48 PM,Auntie Anne’s Breaks From Pack By Calling For Protesters To Be Shot
News in Brief,6/2/20,2:20 PM,"Trump Throws Garbage Can Through McDonald’s Window Before Looting $2,000 In Big Macs"
News in Brief,6/2/20,1:16 PM,Police Didn’t Spend Millions On Awesome Tank Just To Let Protests Stay Peaceful
Sports,6/2/20,1:14 PM,Roger Goodell Insists Martin Luther King Jr. Would Have Wanted 17-Game Football Season In Front Of Full Stadiums
News In Photos,6/2/20,1:12 PM,Community Of Losers Comes Together To Clean Graffiti Off Multinational Banking Conglomerate
News In Photos,6/2/20,11:46 AM,De Blasio: ‘It Is An Honor To Have My Daughter Doxxed By The Greatest Police Force In The World’
Local,6/2/20,8:06 AM,Old Bike Chain Needing More And More Lube To Perform
The Topical,6/2/20,7:54 AM,Study: Dolphins Not So Intelligent On Land
News in Brief,6/1/20,4:44 PM,Sweatshop Worker Devastated To Hear Jacket She Worked So Hard On Looted
News in Brief,6/1/20,2:44 PM,"‘Let Them Have Eric,’ Screams Trump While Pushing Son Through Door Of Bunker"
News In Photos,6/1/20,2:06 PM,"Cop Unable To Move After Taping Over Badge, Body Cam, Face, Body"
News in Brief,6/1/20,12:53 PM,Miami Mayor Suggests Citizens May Be Able To Resume Grinding On Each Other By July 1
News in Brief,6/1/20,11:11 AM,Study Finds Majority Of Times Either Too Early Or Too Late
News in Brief,6/1/20,10:36 AM,Fed Chairman Downloads Budgeting App To Help Manage Nation’s Economy
The Topical,6/1/20,10:19 AM,"Florida Governor Deploys National Guard To Force Residents Back Into Malls, Movie Theaters"
News In Photos,6/1/20,7:57 AM,Grandmother’s Final Words ‘Have When It Together On It Go Family’
News in Brief,5/29/20,1:51 PM,"‘I Will Not Be Censored,’ Yells Trump Chaining Himself To Phone Displaying Twitter Homepage"
Sports,5/29/20,12:03 PM,Adam Silver Shows Solidarity With Players By Inserting Self As Milwaukee Bucks Point Guard
Local,5/29/20,8:05 AM,Woman Needs To Shut Up And Allow Man To Be Ally
OGN,5/29/20,8:01 AM,Major Relief: Blizzard Has Announced That ‘Overwatch’ Players Will Be Able To Carry Over Their Unlocked Skins And Emotes Into The Afterlife
